labnames,clusters
gly_BrL25_RS23455_AMP_binding_NZ_CP017705__5079571_5080786_____,88
gly_BBN_RS36330_AMP_binding_NZ_CP004043__1203678_1204938_____,88
gly_A6122_RS15565_AMP_binding_NZ_CP015515__855670_856849_____,88
gly_BFS30_RS17165_AMP_binding_NZ_CP017141__4122884_4124078_____,88
gly_B9A52_RS00500_AMP_binding_NZ_LT838813__107893_109078_____,88
gly_D770_RS27265_AMP_binding_NZ_CP004371__6645013_6646207_____,88
UNKNOWN_CK934_RS14960_AMP_binding_NZ_CP023254__3662993_3664181_____,88
gly_BVC89_RS13250_AMP_binding_NZ_CP020038__3080568_3081753_____,88
gly_B1L02_RS18220_AMP_binding_NZ_CP021646__4029965_4031144_____,88
gly_PNC201_RS00710_AMP_binding_NZ_CP022522__157964_159137_____,88
UNKNOWN_CIG75_RS10345_AMP_binding_NZ_CP022657__2379902_2381087_____,88
gly_b0298_Gly_CAJ76290.1_A1_BGC0000972_colibactin_Gly_,88
gly_BN49_RS20080_AMP_binding_NZ_FO834906__3781681_3782854_____,88
UNKNOWN_CPIN_RS25745_AMP_binding_NC_013132__6560512_6561712_____,88
gly_CK934_RS00050_AMP_binding_NZ_CP023254__66454_67624_____,88
gly_b0471_Gly_WP_019032753.1_A1_BGC0001331_BE-43547A1_Gly_,88
gly_b0470_Gly_WP_053065270.1_A1_BGC0001330_BE-43547A1_Gly_,88
gly_b0535_Gly_EWM63005.1_A1_BGC0001328_rakicidin_Gly_,88
gly_b0465_Gly_WP_052165466.1_A1_BGC0001327_rakicidin_Gly_,88
UNKNOWN_A7J05_RS00380_AMP_binding_NZ_CP015588__79664_80852______A7J05___,88
gly_b0472_Gly_WP_019032755.1_A1_BGC0001331_BE-43547A1_Gly_,88
gly_b0468_Gly_WP_053065269.1_A1_BGC0001330_BE-43547A1_Gly_,88
gly_BRAD285_RS13205_AMP_binding_NZ_LT859959__2917310_2918498_____,88
gly_AT302_RS12430_AMP_binding_NZ_CP013480.3_2865411_2866635_____,88
gly_B2G49_RS01350_AMP_binding_NZ_CP019915__317152_318346_____,88
gly_B7P44_RS18405_AMP_binding_NZ_CP020738__170708_171911_____,88
gly_AMIS_RS15880_AMP_binding_NC_017093__3400798_3401977_____,88
gly_BGLA_RS27940_AMP_binding_NC_015376__2155691_2156897_____,88
gly_AWL63_RS21375_AMP_binding_NZ_CP014168__4683985_4685143_____,88
gly_b0266_Gly_CAQ18839.1_A1_BGC0000954_ajudazol_NOTE,88
gly_MYSTI_RS30525_AMP_binding_NC_020126__7967897_7969079_____,88
gly_SINAC_RS34580_AMP_binding_NC_019892__8932853_8934044_____,88
gly_CNQ75_RS12485_AMP_binding_NZ_CP023345__2449513_2450722_____,88
gly_GLO7428_RS26290_AMP_binding_NC_019746__13228_14440_____,88
gly_STAUR_RS04065_AMP_binding_NC_014623__996986_998195_____,88
gly_A8C56_RS02625_AMP_binding_NZ_CP015772__617372_618563_____,88
UNKNOWN_NIASO_RS08420_AMP_binding_NZ_CP007035__1973296_1974487_____,88
ala_A0256_RS15230_AMP_binding_NZ_CP014773__3514715_3515903_____,88
ala_CWM47_RS06240_AMP_binding_NZ_CP025096__1455982_1457188_____,88
UNKNOWN_ECHVI_RS06285_AMP_binding_NC_019904__1483958_1485146_____,88
UNKNOWN_BLT83_RS14820_AMP_binding_NZ_LT629754__3445701_3446877_____,88
UNKNOWN_ECHVI_RS11210_AMP_binding_NC_019904__2725397_2726573_____,88
UNKNOWN_FLA_RS06405_AMP_binding_NZ_AP017422__1587071_1588256_____,88
gly_AQ505_RS10280_AMP_binding_NZ_CP012996__2457852_2459043_____,88
UNKNOWN_NIASO_RS00915_AMP_binding_NZ_CP007035__234762_235953_____,88
gly_AM571_RS14465_AMP_binding_NZ_CP017241__2885059_2886256_____,88
gly_a0127_Gly_AHZ20774.1_A3_BGC0000369_hassallidins_Gly_,88
gly_CA731_RS09775_AMP_binding_NZ_AP018317__2065503_2066691_____,88
gly_A9255_RS03830_AMP_binding_NZ_CP016176__798654_799866_____,88
gly_CIG75_RS09800_AMP_binding_NZ_CP022657__2210799_2211984_____,88
gly_BP422_RS10350_AMP_binding_NZ_CP018145__2244602_2245793_____,88
gly_C0V70_RS12075_AMP_binding_NZ_CP025704__2461142_2462324_____,88
UNKNOWN_BLEG1_RS02360_AMP_binding_NZ_CP003923__475784_476969_____,88
UNKNOWN_CTHE_RS09900_AMP_binding_NC_009012__2265576_2266770_____,88
gly_BJP36_RS29000_AMP_binding_NZ_CP017708__7687108_7688320_____,88
gly_BSQ33_RS06925_AMP_binding_NZ_CP018835__1529816_1531019_____,88
gly_AUP74_RS04995_AMP_binding_NZ_CP014143__1151707_1152868_____,88
gly_A7B19_RS08535_AMP_binding_NZ_CP015726__2265796_2266972_____,88
UNKNOWN_BCERE0004_RS27595_AMP_binding_NZ_CM000716__5295575_5296763______,88
gly_b0413_Gly_CCA89326.1_A1_BGC0001111_rhizopodins_Gly_,88
gly_MYSTI_RS42245_AMP_binding_NC_020126__6888749_6889919_____,88
UNKNOWN_CK934_RS25670_AMP_binding_NZ_CP023254__6776969_6778154_____,88
gly_BLU37_RS20970_AMP_binding_NZ_LT629777__4710846_4712061_____,88
UNKNOWN_SYN7502_RS14700_AMP_binding_NC_019702__2939841_2941023_____,88
UNKNOWN_CDC35_RS05665_AMP_binding_NZ_AP018281__1329163_1330363_____,88
gly_CDC35_RS03220_AMP_binding_NZ_AP018281__729543_730731_____,88
UNKNOWN_CA724_RS20425_AMP_binding_NZ_AP018207__5071668_5072886_____,88
gly_B5525_RS24755_AMP_binding_NZ_LT670818__5362623_5363817_____,88
gly_a0329_Gly_AHB82071.1_A1_BGC0001019_microsclerodermins_Gly_,88
gly_a0331_Gly_AHB82071.1_A3_BGC0001019_microsclerodermins_Gly_,88
gly_a0332_Gly_AHB82072.1_A1_BGC0001019_microsclerodermins_Gly_,88
gly_b0532_Gly_CAN89633.1_A1_BGC0001070_kirromycin_Gly_,88
gly_AVI_RS26965_AMP_binding_NC_011981__289147_290350_____,88
gly_MXAN_RS22285_AMP_binding_NC_008095__5737286_5738480_____,88
gly_CHL79_RS01025_AMP_binding_NZ_CP022656__227125_228355_____,88
gly_ATY38_RS13245_AMP_binding_NZ_CP013341__2832862_2834056_____,88
gly_AX767_RS06655_AMP_binding_NZ_CP014517__1323841_1325056_____,88
gly_Atu3683_AMP_binding_NC_003063.2_751244_752444_____,88
UNKNOWN_CNO08_RS22510_AMP_binding_NZ_CP023465__5565834_5567025_____,88
gly_THI_RS17525_AMP_binding_NC_014145__3716806_3718018_____,88
gly_AC233_RS05810_AMP_binding_NZ_CP012192__1344836_1346039_____,88
gly_CU052_RS00580_AMP_binding_NZ_CP025537__136476_137640_____,88
gly_CFB02_RS05060_AMP_binding_NZ_LT897781__1050243_1051440_____,88
gly_MARSALSMR5_RS09720_AMP_binding_NZ_CP020931__2141456_2142638_____,88
UNKNOWN_FAES_RS12395_AMP_binding_NC_020054__3050960_3052166_____,88
UNKNOWN_A6C57_RS07400_AMP_binding_NZ_CP015317__1777859_1779065_____,88
UNKNOWN_AWR27_RS16635_AMP_binding_NZ_CP014263__3859799_3860990_____,88
UNKNOWN_BN6_RS27280_AMP_binding_NC_019673__6332401_6333271_____,88
gly_HDN1F_RS02930_AMP_binding_NC_014366__705231_706419_____,88
UNKNOWN_ANTHELSMS3_RS16955_AMP_binding_NZ_CP022540__3551067_3552264_____,88
UNKNOWN_CKY39_RS20260_AMP_binding_NZ_CP023284__4367027_4368248_____,88
gly_AQ611_RS20460_AMP_binding_NZ_CP013449__1108522_1109701_____,88
gly_AZL_RS32630_AMP_binding_NC_013860__85494_86682_____,88
UNKNOWN_BLU95_RS03875_AMP_binding_NZ_LT629775__1048658_1049945_____,88
arg_BKM31_RS56170_AMP_binding_NZ_CP017717__12369286_12370429_____,88
UNKNOWN_AJAP_RS12155_AMP_binding_NZ_CP008953__2494825_2496013_____,88
UNKNOWN_AJAP_RS12155_AMP_binding_NZ_CP008953__2491759_2492944_____,88
UNKNOWN_SHJG_RS03240_AMP_binding_NC_017765__758022_759204_____,88
gly_A4U85_RS18075_AMP_binding_NZ_CP015121__3790336_3791509_____,88
gly_DC74_RS04635_AMP_binding_NZ_CP007574__1010340_1011546_____,88
gly_BN6_RS17245_AMP_binding_NC_019673__3862047_3863217_____,88
gly_BN1701_RS33690_AMP_binding_NZ_LN850107__7379721_7380882_____,88
UNKNOWN_CU254_RS16150_AMP_binding_NZ_CP024894__3440770_3441940_____,88
UNKNOWN_CIK06_RS18410_AMP_binding_NZ_CP022961__4288724_4289921_____,88
ala_GA0070610_RS09860_AMP_binding_NZ_LT607733__2199518_2200733_____,88
UNKNOWN_BN6_RS17260_AMP_binding_NC_019673__3867460_3868639_____,88
UNKNOWN_SARE_RS23910_AMP_binding_NC_009953__5556452_5557646_____,88
UNKNOWN_BB341_RS02375_AMP_binding_NZ_CP016559__621340_622204_____,88
UNKNOWN_HOCH_RS03885_AMP_binding_NC_013440__1032979_1034131_____,88
gly_BBN63_RS00210_AMP_binding_NZ_CP018047__37586_38777_____,88
UNKNOWN_AMES_RS24115_AMP_binding_NC_018266__5310100_5311276_____,88
rare_aa_b0004_D-Ala_ABC35522.1_A1_BGC0000186_thailandamide_NOTE,88
UNKNOWN_A8H32_RS02855_AMP_binding_NZ_CP020391__664417_665605_____,88
UNKNOWN_AZL_RS32635_AMP_binding_NC_013860__88740_89928_____,88
UNKNOWN_GA0074695_RS13635_AMP_binding_NZ_LT607411__2921609_2922803_____,88
gly_AMES_RS18560_AMP_binding_NC_018266__4010006_4011185_____,88
UNKNOWN_CBW65_RS19035_AMP_binding_NZ_CP021434__4038816_4040019_____,88
gly_CO540_RS09600_AMP_binding_NZ_CP024052__2231456_2232626_____,88
gly_HOCH_RS06595_AMP_binding_NC_013440__1830040_1831243_____,88
UNKNOWN_SACGLDRAFT_RS10000_AMP_binding_NZ_CM001484__2101701_2102880_____,88
UNKNOWN_CA740_RS23300_AMP_binding_NZ_AP018203__4881919_4883110_____,88
UNKNOWN_HOCH_RS14460_AMP_binding_NC_013440__4056251_4057457_____,88
gly_SOCE26_RS25225_AMP_binding_NZ_CP012673__6952084_6953290_____,88
gly_BN6_RS23170_AMP_binding_NC_019673__5325082_5325958_____,88
UNKNOWN_AZL_RS32635_AMP_binding_NC_013860__91917_93114_____,88
UNKNOWN_A6122_RS15535_AMP_binding_NZ_CP015515__846706_847885_____,88
gly_NSP_RS11885_AMP_binding_NZ_CP007203__2703581_2704775_____,88
UNKNOWN_J421_RS30315_AMP_binding_NZ_CP007130__596354_597638_____,88
gly_ACIX9_RS09310_AMP_binding_NC_015064__2181970_2183140_____,88
gly_ATSB10_RS17245_AMP_binding_NZ_CP014841__3841177_3842359_____,88
gly_RPAL_RS18610_AMP_binding_NC_011004__4029254_4030454_____,88
UNKNOWN_BIND_RS04305_AMP_binding_NC_010581__959360_960542_____,88
UNKNOWN_BPHY_RS08510_AMP_binding_NC_010622__1894606_1895791_____,88
gly_CK951_RS19955_AMP_binding_NZ_CP023550__8621_9794_____,88
gly_DPA2511_RS21370_AMP_binding_NZ_CM001857__1979214_1980420_____,88
gly_CCDG5_RS04500_AMP_binding_NZ_LM995447__992030_993212_____,88
gly_BMW22_RS26585_AMP_binding_NZ_CP018229__167136_168351_____,88
gly_PUV_RS13010_AMP_binding_NC_015702__3057286_3058468_____,88
gly_A3768_RS21730_AMP_binding_NZ_CP015851__1104756_1105956_____,88
UNKNOWN_A9R05_RS25985_AMP_binding_NZ_CP016001__277339_278527______A9R0__,88
gly_CPter291_RS02270_AMP_binding_NZ_CP013236__509522_510758_____,88
gly_ANTHELSMS3_RS16965_AMP_binding_NZ_CP022540__3558921_3560103_____,88
gly_ACZ75_RS03705_AMP_binding_NZ_CP012201__902148_903351_____,88
gly_AVI_RS26965_AMP_binding_NC_011981__286006_287194_____,88
gly_STRVI_RS21435_AMP_binding_NC_015957__5184325_5185516_____,88
UNKNOWN_CA2015_RS22275_AMP_binding_NZ_CP012040__5587219_5588410_____,88
gly_LHA_RS12120_AMP_binding_NZ_LN681225__2746568_2747771_____,88
UNKNOWN_IMCC3135_RS09145_AMP_binding_NZ_CP018632__2102820_2104008_____,88
gly_HCH_RS12305_AMP_binding_NC_007645__2792204_2793437_____,88
gly_A6E92_RS01995_AMP_binding_NZ_CP015362__478870_480082_____,88
gly_BN1701_RS10690_AMP_binding_NZ_LN850107__2387932_2389087_____,88
gly_KSE_RS28785_AMP_binding_NC_016109__6521540_6522722_____,88
rare_aa_a0277_D-Ala_BAP16697.1_A1_BGC0000376_jbir-34_jbir-35_NOTE,88
gly_SCE1572_RS60610_AMP_binding_NC_021658__13519556_13520747_____,88
gly_PAU_RS12310_AMP_binding_NC_012962__2924486_2925698_____,88
UNKNOWN_XBJ1_RS09120_AMP_binding_NC_013892__2116803_2118042_____,88
gly_BLU81_RS29100_AMP_binding_NZ_LT629758__6639715_6640888_____,88
UNKNOWN_SNAS_RS00945_AMP_binding_NC_013947__187657_188815_____,88
gly_SNAS_RS00960_AMP_binding_NC_013947__194647_195823_____,88
UNKNOWN_M621_RS27545_AMP_binding_NC_021659__524734_527020______ADP72_R__,88
gly_STAUR_RS20650_AMP_binding_NC_014623__5113056_5115357_____,88
gly_AA314_RS25240_AMP_binding_NZ_CP011509__6412714_6415006_____,88
gly_SCE_RS12235_AMP_binding_NC_010162__3210637_3212956_____,88
gly_BLU29_RS13985_AMP_binding_NZ_LT629735__3275360_3277679_____,88
UNKNOWN_MYMAC_RS36105_AMP_binding_NZ_CP022203__8860123_8862424______LI__,88
gly_b0346_Gly_AAF19815.1_A1_BGC0001024_myxothiazol_Gly_,88
gly_b0320_Gly_CAD89778.1_A1_BGC0001010_melithiazol_Gly_,88
gly_MYSTI_RS24620_AMP_binding_NC_020126__6364990_6367273_____,88
gly_A176_RS20355_AMP_binding_NZ_CP012109__5291701_5294032_____,88
gly_BVC89_RS27505_AMP_binding_NZ_CP020038__6669599_6671936_____,88
gly_BJP38_RS11990_AMP_binding_NZ_CP017718__2545694_2548022_____,88
gly_RTA_RS15565_AMP_binding_NC_015677__3244951_3247264_____,88
gly_CFP65_RS28950_AMP_binding_NZ_CP025394__6738640_6740902_____,88
gly_PhaeoP13_RS02235_AMP_binding_NZ_CP010767__483045_485409_____,88
gly_ANTHELSMS3_RS04370_AMP_binding_NZ_CP022540__906824_909146_____,88
gly_AO356_RS26495_AMP_binding_NZ_CP012831__6001798_6004048_____,88
gly_AQ611_RS10100_AMP_binding_NZ_CP013448__2250997_2253262_____,88
gly_NX02_RS15940_AMP_binding_NZ_CP006644__3479474_3481790_____,88
UNKNOWN_BN6_RS27390_AMP_binding_NC_019673__6360161_6361055_____,88
UNKNOWN_DC74_RS32570_AMP_binding_NZ_CP007574__7582227_7582881_____,88
UNKNOWN_SMD44_RS21520_AMP_binding_NZ_CP021748__4828365_4829622_____,88
UNKNOWN_L083_RS26950_AMP_binding_NC_021191__6382952_6384080_____,88
UNKNOWN_SXIM_RS25095_AMP_binding_NZ_CP009922.2_5560242_5561388_____,88
UNKNOWN_CGQ36_RS20370_AMP_binding_NZ_CP022434__4872814_4873171______A9__,88
UNKNOWN_AOR13_RS16035_AMP_binding_NZ_CP013120__3786313_3787528______AV__,88
UNKNOWN_PNC201_RS00740_AMP_binding_NZ_CP022522__184232_185444_____,88
cys_AT705_RS12015_AMP_binding_NZ_CP013611__2761122_2761848_____,88
UNKNOWN_A3Q40_RS07020_AMP_binding_NZ_CP015219__1550560_1550761_____,88
UNKNOWN_B7470_RS00005_AMP_binding_NZ_CP020722__821_1058_____,88
UNKNOWN_NONO_RS17735_AMP_binding_NZ_CP006850__3967512_3967746_____,88
ala_MSG_RS01360_AMP_binding_NZ_AP018164__286048_286588_____,88
gln_b0325_Gln_AAO62582.1_A1_BGC0001016_microcystin_Gln_,88
glu_b0333_Glu_AAF00958.1_A1_BGC0001017_microcystin_LR_Glu_,88
UNKNOWN_CDC30_RS26720_AMP_binding_NZ_AP018299__68452_69655_____,88
UNKNOWN_CK934_RS00030_AMP_binding_NZ_CP023254__47351_48542_____,88
UNKNOWN_CPIN_RS16955_AMP_binding_NC_013132__4247397_4248552_____,88
UNKNOWN_B4U39_RS07045_AMP_binding_NZ_CP020039__1507542_1508706______B6__,88
UNKNOWN_CIK06_RS08960_AMP_binding_NZ_CP022961__1998812_1999952_____,88
asp_SVTN_RS03430_AMP_binding_NZ_CP010407__791988_793182_____,88
UNKNOWN_XcfCFBP6167P_RS19030_AMP_binding_NZ_CP021018__4245303_4246518___,88
aad_a0782_Aad_AAA34747.1_A1_not_in_mibig_tyrocidineP07702_A1_aad_Aa_,88
aad_a0656_Aad_AAC15909.1_A1_not_in_mibig_potentially_Lys_biosynthes_,88
asp_BJP36_RS01860_AMP_binding_NZ_CP017708__462092_463322_____,88
UNKNOWN_Kalk_RS02105_AMP_binding_NZ_CP022684__477399_478587_____,88
asp_HDN1F_RS07805_AMP_binding_NC_014366__1921151_1922387_____,88
asp_B723_RS23705_AMP_binding_NZ_CP010945__5224539_5225775_____,88
orn_A0O21_RS09050_AMP_binding_NZ_CP014699__1960869_1962000_____,88
asp_BGLA_RS34980_AMP_binding_NC_015382__113233_114523_____,88
tyr_GA0070610_RS25450_AMP_binding_NZ_LT607733__5938265_5939396_____,88
UNKNOWN_GA0070620_RS05605_AMP_binding_NZ_LT598496__1277648_1278854_____,88
UNKNOWN_KY5_RS17405_AMP_binding_NZ_CP022685__4106009_4107224_____,88
UNKNOWN_D781_RS01405_AMP_binding_NC_020064__324577_325840_____,88
UNKNOWN_D781_RS01410_AMP_binding_NC_020064__327231_328464_____,88
UNKNOWN_BGLA_RS35410_AMP_binding_NC_015382__212972_214178_____,88
UNKNOWN_STAUR_RS41685_AMP_binding_NC_014623__5967330_5968545_____,88
UNKNOWN_BGLA_RS08150_AMP_binding_NC_015381__1849931_1851140_____,88
UNKNOWN_CYFUS_RS22160_AMP_binding_NZ_CP022098__5437312_5438533_____,88
arg_AORI_RS82445_AMP_binding_NC_021252__4981469_4982651_____,88
orn_RBRH_RS08650_AMP_binding_NC_014722__1986162_1987362_____,88
UNKNOWN_B6257_RS08400_AMP_binding_NZ_CP021011__1616924_1618133_____,88
UNKNOWN_B6257_RS08395_AMP_binding_NZ_CP021011__1613465_1614674_____,88
UNKNOWN_B6257_RS08395_AMP_binding_NZ_CP021011__1608947_1610153_____,88
UNKNOWN_B6257_RS08400_AMP_binding_NZ_CP021011__1621412_1622612_____,88
tyr_B6264_RS22955_AMP_binding_NZ_CP020567__5165480_5166587_____,88
tyr_ALPR1_RS11580_AMP_binding_NZ_CM001023__2751988_2753185_____,88
tyr_WPG_RS01910_AMP_binding_NZ_AP014583__407279_408464_____,88
tyr_MEALZ_RS07440_AMP_binding_NC_016112__1733256_1734486_____,88
tyr_CEK71_RS01140_AMP_binding_NZ_CP022129__253386_254595_____,88
tyr_CEK71_RS20790_AMP_binding_NZ_CP022129__4614933_4616133_____,88
tyr_CEK71_RS17840_AMP_binding_NZ_CP022129__3964013_3965210_____,88
tyr_B1812_RS21440_AMP_binding_NZ_CP019949__3837_5034_____,88
tyr_PFLQ2_RS11755_AMP_binding_NZ_CM001558__3635297_3636491_____,88
tyr_METME_RS17645_AMP_binding_NC_015572__3889425_3890628_____,88
tyr_BLU65_RS24245_AMP_binding_NZ_LT629746__5373115_5374309_____,88
tyr_CQW49_RS17720_AMP_binding_NZ_CP023737__3727196_3728390_____,88
tyr_CXQ80_RS08810_AMP_binding_NZ_CP025262__1937879_1939079_____,88
tyr_IEC33019_RS06715_AMP_binding_NZ_CP016634__1403700_1404897_____,88
UNKNOWN_N805_RS13805_AMP_binding_NZ_CP010979__3120241_3121414_____,88
tyr_AAW51_RS13840_AMP_binding_NZ_CP011371__3207711_3208887_____,88
tyr_A0U95_RS04315_AMP_binding_NZ_CP014693__989590_990772_____,88
tyr_AVA_RS27930_AMP_binding_NC_007412__4291_5500_____,88
UNKNOWN_AVA_RS27960_AMP_binding_NC_007412__18666_19878_____,88
tyr_MFUL124B02_RS23295_AMP_binding_NZ_CP006003__5930310_5931513_____,88
his_a0624_His_AAG02355.1_A2_BGC0000963_bleomycin_His_,88
his_b0400_His_ACG60782.1_A2_BGC0001058_zorbamycin_His_,88
tyr_AMIR_RS18360_AMP_binding_NC_013093__4327128_4328319_____,88
his_b0371_His_ABL74936.1_A2_BGC0001048_tallysomycin_His_,88
UNKNOWN_RHPLAN_RS12315_AMP_binding_NZ_CP007440__2651136_2652345_____,88
tyr_PPIS_RS14825_AMP_binding_NZ_CP011924__3228622_3229867_____,88
UNKNOWN_PNC201_RS03730_AMP_binding_NZ_CP022522__933593_934817_____,88
tyr_PLU_RS17515_AMP_binding_NC_005126__4142382_4143582_____,88
tyr_A361_RS04060_AMP_binding_NZ_CP015506__759547_760732_____,88
gly_AFB00_RS06465_AMP_binding_NZ_CP013854__1353563_1354772_____,88
tyr_SBI_RS29735_AMP_binding_NC_016582__7350716_7351943_____,88
tyr_SACMADRAFT_RS20780_AMP_binding_NZ_CM001439__4389191_4390388_____,88
tyr_UM93_RS15320_AMP_binding_NZ_CP011005__3240827_3241997_____,88
tyr_NI25_RS03880_AMP_binding_NZ_CP009754__857604_858810_____,88
tyr_B1781_RS12935_AMP_binding_NZ_CP019936__2709018_2710239_____,88
gly_A7B19_RS39850_AMP_binding_NZ_CP015726__9321690_9322869_____,88
tyr_a0414_Tyr_BAO84868.1_A1_BGC0000414_quinocarcin_3Me-Tyr_,88
tyr_BBN63_RS30650_AMP_binding_NZ_CP018047__7001883_7003065_____,88
UNKNOWN_a0413_3Me-Tyr|ddh-Arg_BAO84866.1_A1_BGC0000414_quinocarcin_ddh-_,88
tyr_BBN63_RS30660_AMP_binding_NZ_CP018047__7007127_7008336_____,88
UNKNOWN_A176_RS14025_AMP_binding_NZ_CP012109__3608520_3609708_____,88
tyr_SCE1572_RS20375_AMP_binding_NC_021658__5619882_5621073_____,88
UNKNOWN_NITMOv2_RS11370_AMP_binding_NZ_CP011801__2285469_2286663_____,88
UNKNOWN_NSJP_RS13675_AMP_binding_NZ_LT828648__2871170_2872370_____,88
tyr_PT7_RS16410_AMP_binding_NC_015458__3541545_3542742_____,88
UNKNOWN_RPC_RS16910_AMP_binding_NC_007925__3735308_3736487_____,88
tyr_A9R05_RS25985_AMP_binding_NZ_CP016001__293164_294364_____,88
tyr_LEN_RS18875_AMP_binding_NZ_AP014940__4715827_4717060_____,88
tyr_ACZ75_RS03705_AMP_binding_NZ_CP012201__898875_900108_____,88
his_b0199_His_AED90002.1_A5_BGC0000443_thanamycin_His_,88
tyr_AO356_RS28290_AMP_binding_NZ_CP012831__6547315_6548536_____,88
tyr_CVS35_RS07745_AMP_binding_NZ_CP024956__1701849_1703067_____,88
UNKNOWN_BM43_RS37735_AMP_binding_NZ_CP009323__3854790_3855996_____,88
gly_BMU11_RS00120_AMP_binding_NZ_CP017938__31130_32345_____,88
UNKNOWN_CLM72_RS21310_AMP_binding_NZ_CP023269__4659145_4660357_____,88
UNKNOWN_I876_RS01420_AMP_binding_NC_021717__350904_352098______AMAD1_R__,88
gly_GJA_RS00815_AMP_binding_NZ_HG322949__223485_224694_____,88
gly_CXB49_RS07990_AMP_binding_NZ_CP025429__1721640_1722852_____,88
UNKNOWN_CNO08_RS12290_AMP_binding_NZ_CP023465__3124940_3126173_____,88
UNKNOWN_GLA29479_RS15680_AMP_binding_NZ_CP013141__3876780_3877995_____,88
tyr_B7P44_RS18390_AMP_binding_NZ_CP020738__161627_162851_____,88
UNKNOWN_SOCE26_RS24945_AMP_binding_NZ_CP012673__6796480_6797695_____,88
UNKNOWN_SNE_RS00660_AMP_binding_NC_015713__3274_4483_____,88
UNKNOWN_BBN63_RS01415_AMP_binding_NZ_CP018047__332846_334061_____,88
UNKNOWN_C1701_RS23695_AMP_binding_NZ_CP025990__5612945_5614154_____,88
UNKNOWN_O3I_RS22940_AMP_binding_NC_018681__5233566_5234787_____,88
UNKNOWN_BEN82_RS29255_AMP_binding_NZ_CP016824__6815431_6816649_____,88
trp_PD630_RS29895_AMP_binding_NZ_CP003949__6627119_6628349_____,88
leu_C1701_RS26620_AMP_binding_NZ_CP025990__6709219_6710449_____,88
UNKNOWN_JI59_RS01050_AMP_binding_NZ_CP009291__221522_222704_____,88
tyr_B9A52_RS00500_AMP_binding_NZ_LT838813__114139_115327_____,88
UNKNOWN_CA2015_RS22275_AMP_binding_NZ_CP012040__5584051_5585248_____,88
UNKNOWN_A7B19_RS03175_AMP_binding_NZ_CP015726__813633_814839_____,88
UNKNOWN_BBK82_RS35680_AMP_binding_NZ_CP016793__7418826_7420014_____,88
UNKNOWN_BBK82_RS35655_AMP_binding_NZ_CP016793__7405725_7406919_____,88
UNKNOWN_P40081_RS26045_AMP_binding_NZ_CP009280__6129366_6130557_____,88
UNKNOWN_CLO1100_RS04335_AMP_binding_NC_016791__1031338_1032523_____,88
his_a0507_His_AAC06348.1_A3_BGC0000310_bacitracin_His_,88
UNKNOWN_BALI_RS12780_AMP_binding_NC_021362__2587855_2589037_____,88
UNKNOWN_CCEL_RS17660_AMP_binding_NC_011898__2844200_2845388_____,88
UNKNOWN_AW22_RS14975_AMP_binding_NZ_CP009300__2635738_2636917_____,88
UNKNOWN_CLOCEL_RS11415_AMP_binding_NC_014393__2696203_2697388_____,88
UNKNOWN_BFS30_RS25190_AMP_binding_NZ_CP017141__6095188_6096400_____,88
UNKNOWN_CLO1100_RS13410_AMP_binding_NC_016791__3166075_3167269_____,88
UNKNOWN_CLOCEL_RS12400_AMP_binding_NC_014393__2942060_2943248_____,88
UNKNOWN_CLOCEL_RS12400_AMP_binding_NC_014393__2954609_2955800_____,88
leu_a0534_Leu_CAA43838.1_A4_not_in_mibig_gramicidin_Leu_,88
leu_a0530_Leu_BAA06146.1_A4_not_in_mibig_gramicidin_Leu_,88
leu_a0499_Leu_BAH43766.1_A6_BGC0000452_tyrocidine_Leu_,88
leu_A616_RS15670_AMP_binding_NZ_CP023474__3145286_3146486_____,88
tyr_a0496_Tyr_BAH43766.1_A3_BGC0000452_tyrocidine_Tyr_,88
phe_a0085_Phe_AAC45929.1_A2_BGC0000452_tyrocidine_Phe_,88
leu_A616_RS15665_AMP_binding_NZ_CP023474__3121959_3123150_____,88
tyr_C0638_RS03020_AMP_binding_NZ_CP025696__663106_664303_____,88
UNKNOWN_B2K_RS19825_AMP_binding_NC_017672.3_4714889_4716116_____,88
UNKNOWN_COP00_RS04740_AMP_binding_NZ_CP023481__885415_886426_____,88
UNKNOWN_B2K_RS21460_AMP_binding_NC_017672.3_5222120_5223308_____,88
tyr_CCDG5_RS10325_AMP_binding_NZ_LM995447__1004149_1005340_____,88
tyr_CCEL_RS12045_AMP_binding_NC_011898__2855618_2856809_____,88
tyr_CIC07_RS04215_AMP_binding_NZ_CP022655__878011_879202_____,88
UNKNOWN_PGRAT_RS26145_AMP_binding_NZ_CP009287__6042560_6043760_____,88
tyr_AXW78_RS26400_AMP_binding_NZ_CP014283__3276_4467_____,88
UNKNOWN_CLOLE_RS19460_AMP_binding_NC_015275__4266698_4267889_____,88
tyr_A1D11_RS10140_AMP_binding_NZ_CP014840__2021780_2022968_____,88
tyr_a0573_Tyr_AAB80955.2_A3_BGC0001095_fengycin_Tyr_,88
tyr_a0569_Tyr_CAA84363.1_A3_BGC0000407_plipastatin_Tyr_,88
tyr_A1D11_RS10130_AMP_binding_NZ_CP014840__2000152_2001340_____,88
tyr_a0076_Tyr_CAA84361.1_A1_BGC0000407_plipastatin_Tyr_,88
tyr_a0732_Tyr_CAA09819.1_A1_not_in_mibig_fengycin_Tyr_,88
