
MIBiG accession	Full / partial MIBiG info	Main product	Biosynthetic class	Organism
BGC0001114	Full	thailanstatin	NRP / Polyketide	Burkholderia thailandensis
BGC0001118	Full	endocrocin	Polyketide	Aspergillus fumigatus Af293
BGC0001119	Full	divergolide	Polyketide	Streptomyces sp. HKI0576
BGC0001120	Full	burkholderic acid	NRP / Polyketide	Burkholderia thailandensis E264
BGC0001121	Full	orsellinic acid	Polyketide	Aspergillus nidulans FGSC A4
BGC0001122	Full	isoflavipucine	NRP / Polyketide	Aspergillus terreus NIH2624
BGC0001123	Full	aspirochlorine	NRP	Aspergillus oryzae RIB40
BGC0001126	Full	ambiguine	Alkaloid / Terpene	Fischerella ambigua UTEX 1903
BGC0001132	Full	xenotetrapeptide	NRP	Xenorhabdus nematophila ATCC 19061
BGC0001133	Full	taxlllaid	NRP	Xenorhabdus bovienii SS-2004
BGC0001134	Full	photopyrone	Other	Photorhabdus luminescens subsp. laumondii TTO1
BGC0001135	Full	bicornutin	NRP	Xenorhabdus budapestensis
BGC0001136	Full	desmethylbassianin	NRP / Polyketide	Beauveria bassiana
BGC0001137	Full	marinacarboline	Alkaloid	Marinactinospora thermotolerans
BGC0001138	Full	A201A	Other	Marinactinospora thermotolerans
BGC0001140	Full	platensimycin / platencin	Terpene	Streptomyces platensis
BGC0001141	Full	brefeldin	Polyketide	Penicillium brefeldianum
BGC0001145	Full	cyclothiazomycin B	RiPP	Streptomyces mobaraensis NBRC 13819 = DSM 40847
BGC0001146	Full	cyclothiazomycin C	RiPP	Streptomyces sp. NRRL WC-3908
BGC0001147	Full	distamycin	NRP	Streptomyces netropsis
BGC0001149	Full	brabantamide	NRP / Saccharide	Pseudomonas sp. SHC52
BGC0001150	Full	pamamycin	Polyketide	Streptomyces alboniger DSM 40043 Unclassified.
BGC0001151	Full	clavams	Other	Streptomyces antibioticus
BGC0001152	Full	fusaricidin	NRP	Paenibacillus polymyxa
BGC0001153	Full	polymyxin	NRP	Paenibacillus polymyxa
BGC0001154	Full	cacibiocin	Other	Catenulispora acidiphila DSM 44928
BGC0001155	Full	GE2270	RiPP	Planobispora rosea
BGC0001156	Full	platencin	Terpene	Streptomyces platensis
BGC0001157	Full	bottromycin	RiPP	Streptomyces scabiei 87.22
BGC0001158	Full	bikaverin	Polyketide	Botrytis cinerea
BGC0001159	Full	marinopyrrole	NRP / Polyketide	Streptomyces sp. CNQ-418
BGC0001160	Full	nonadecene	Polyketide	Synechococcus sp. PCC 7002
BGC0001161	Full	1-heptadecene	Polyketide	Moorea bouillonii PNG5-198
BGC0001162	Full	1-heptadecene	Polyketide	Moorea producens JHB
BGC0001163	Full	1-heptadecene	Polyketide	Moorea producens 3L
BGC0001164	Full	1-heptadecene	Polyketide	Cyanothece sp. PCC 7822
BGC0001165	Full	curacin	NRP / Polyketide	Lyngbya majuscula
BGC0001166	Full	HC-toxin	NRP	Alternaria jesenskae
BGC0001167	Full	piricyclamide	RiPP	Microcystis aeruginosa PCC 7005
BGC0001168	Full	livipeptin	NRP	Streptomyces lividans 1326
BGC0001169	Full	piericidin A1	Polyketide	Streptomyces sp. SCSIO 03032
BGC0001170	Full	clostridiolysin S	RiPP	Clostridium sporogenes ATCC 15579
BGC0001171	Full	listeriolysin S	RiPP	Listeria monocytogenes serotype 4b str. F2365
BGC0001172	Full	chlorizidine A	NRP / Polyketide	Streptomyces sp. CNH-287
BGC0001173	Full	plantazolicin	RiPP	Bacillus pumilus ATCC 7061
BGC0001174	Full	corynazolicin	RiPP	Corynebacterium urealyticum DSM 7111
BGC0001176	Full	streptomonomicin	RiPP	Streptomonospora alba
BGC0001177	Full	mensacaricin	Polyketide	Streptomyces bottropensis
BGC0001178	Full	UK-68,597	NRP	Actinoplanes sp. ATCC 53533
BGC0001179	Full	rishirilide B	Polyketide	Streptomyces bottropensis
BGC0001180	Full	isopropylstilbene	Other	Photorhabdus luminescens subsp. laumondii TTO1
BGC0001182	Full	chaetoglobosins	NRP / Polyketide	Chaetomium globosum CBS 148.51
BGC0001184	Full	bacilysin	Other	Bacillus amyloliquefaciens subsp. plantarum str. FZB42
BGC0001185	Full	bacillibactin	NRP	Bacillus amyloliquefaciens subsp. plantarum str. FZB42
BGC0001187	Full	xenolozoyenone	NRP / Polyketide	Glarea lozoyensis
BGC0001208	Full	poaeamide	NRP	Pseudomonas poae RE*1-1-14
BGC0001212	Full	nannocystin	NRP / Polyketide	Nannocystis sp. MB1016
BGC0001221	Full	marinophenazines	Other	Streptomyces sp. CNQ-509
BGC0001226	Full	streptocollin	RiPP	Streptomyces collinus Tu 365
BGC0001228	Full	retimycin	NRP	Salinispora arenicola CNT005
BGC0001229	Full	SBI_06990 alpha / SBI_06989 beta	RiPP	Streptomyces bingchenggensis BCW-1
BGC0001230	Full	salinamides	NRP / Polyketide	Streptomyces sp. CNB091
BGC0001231	Full	microsclerodermins	NRP / Polyketide	Jahnella sp. MSr9139
BGC0001283	Full	arsenopolyketides	Other	Streptomyces lividans 1326
BGC0001285	Full	pseudopyronine A / pseudopyronine B	Other	Pseudomonas putida
BGC0001311	Full	flavecin	RiPP	Ruminococcus flavefaciens FD-1
BGC0001333	Full	BE-54017	Alkaloid	uncultured bacterium AB1650
BGC0001334	Full	cladoniamide	Alkaloid	Streptomyces uncialis
BGC0001335	Full	borregomycin	Alkaloid	uncultured bacterium
BGC0001336	Full	erdasporine	Alkaloid	uncultured bacterium
BGC0001337	Full	lazarimide	Alkaloid	uncultured bacterium
BGC0001338	Full	citrinin	Polyketide	Monascus ruber
BGC0001339	Full	squalestatin S1	Polyketide	Phoma sp. MF5453
BGC0001340	Full	byssochlamic acid	Polyketide	Byssochlamys fulva
BGC0001346	Full	bananamides	NRP	Pseudomonas fluorescens
BGC0001347	Full	poaeamide B	NRP	Pseudomonas synxantha
BGC0001348	Full	JBIR-100	Polyketide	Streptomyces varsoviensis
BGC0000002	Partial	aculeximycin	Polyketide	Kutzneria albida DSM 43870
BGC0000003	Partial	AF-toxin	Polyketide	Alternaria alternata
BGC0000004	Partial	aflatoxin	Polyketide	Aspergillus oryzae
BGC0000005	Partial	aflatoxin	Polyketide	Aspergillus parasiticus
BGC0000006	Partial	aflatoxin	Polyketide	Aspergillus flavus
BGC0000007	Partial	aflatoxin	Polyketide	Aspergillus flavus
BGC0000008	Partial	aflatoxin	Polyketide	Aspergillus flavus
BGC0000009	Partial	aflatoxin	Polyketide	Aspergillus nomius
BGC0000010	Partial	aflatoxin	Polyketide	Aspergillus flavus
BGC0000011	Partial	aflatoxin/sterigmatocystin	Polyketide	Aspergillus ochraceoroseus
BGC0000012	Partial	alternapyrone	Polyketide	Alternaria solani
BGC0000013	Partial	alternariol	Polyketide	Aspergillus nidulans FGSC A4
BGC0000014	Partial	ambruticin	Polyketide	Sorangium cellulosum
BGC0000015	Partial	amphotericin	Polyketide	Streptomyces nodosus
BGC0000018	Partial	angolamycin	Polyketide	Streptomyces eurythermus
BGC0000019	Partial	angolamycin	Polyketide	Streptomyces eurythermus
BGC0000020	Partial	ansamitocin	Polyketide	Actinosynnema pretiosum subsp. auranticum
BGC0000021	Partial	apoptolidin	Polyketide	Nocardiopsis sp. FU40
BGC0000022	Partial	asperfuranone	Polyketide	Aspergillus nidulans FGSC A4
BGC0000025	Partial	avermectin	Polyketide	Streptomyces avermitilis
BGC0000030	Partial	bikaverin	Polyketide	Fusarium fujikuroi IMI 58289
BGC0000032	Partial	calcimycin	Polyketide	Streptomyces chartreusis NRRL 3882
BGC0000033	Partial	calicheamicin	Polyketide	Micromonospora echinospora
BGC0000034	Partial	candicidin	Polyketide	Streptomyces sp. FR-008
BGC0000035	Partial	chalcomycin	Polyketide	Streptomyces bikiniensis
BGC0000037	Partial	cichorine	Polyketide	Aspergillus nidulans FGSC A4
BGC0000039	Partial	compactin	Polyketide	Penicillium citrinum
BGC0000040	Partial	concanamycin A	Polyketide	Streptomyces neyagawaensis
BGC0000041	Partial	coronafacic acid	Polyketide	Pseudomonas syringae
BGC0000042	Partial	cremimycin	Polyketide	Streptomyces sp. MJ635-86F5
BGC0000043	Partial	curacin A	Polyketide	Moorea producens 19L
BGC0000045	Partial	dehydrocurvularin	Polyketide	Aspergillus terreus
BGC0000047	Partial	dihydrochalcomycin	Polyketide	Streptomyces sp. KCTC 0041BP
BGC0000048	Partial	dothistromin	Polyketide	Mycosphaerella pini
BGC0000049	Partial	E-492 / E-975	Polyketide	Streptomyces sp. Eco86
BGC0000050	Partial	E-837	Polyketide	Streptomyces aculeolatus
BGC0000051	Partial	ebelactone	Polyketide	Streptomyces aburaviensis
BGC0000052	Partial	ECO-02301	Polyketide	Streptomyces aizunensis
BGC0000053	Partial	elaiophylin	Polyketide	Streptomyces sp. DSM4137
BGC0000054	Partial	erythromycin	Polyketide	Aeromicrobium erythreum
BGC0000056	Partial	esperamicin	Polyketide	Actinomadura verrucosospora
BGC0000058	Partial	FD-891	Polyketide	Streptomyces graminofaciens
BGC0000059	Partial	filipin	Polyketide	Streptomyces avermitilis MA-4680 = NBRC 14893
BGC0000060	Partial	fostriecin	Polyketide	Streptomyces pulveraceus
BGC0000061	Partial	FR-008	Polyketide	Streptomyces sp. FR-008
BGC0000062	Partial	fumonisin	Polyketide	Fusarium verticillioides
BGC0000063	Partial	fumonisin	Polyketide	Fusarium oxysporum
BGC0000064	Partial	fusarin	Polyketide	Fusarium verticillioides
BGC0000066	Partial	geldanamycin	Polyketide	Streptomyces hygroscopicus
BGC0000067	Partial	geldanamycin	Polyketide	Streptomyces hygroscopicus subsp. duamyceticus
BGC0000068	Partial	geldanamycin	Polyketide	Streptomyces hygroscopicus
BGC0000069	Partial	gephyronic acid	Polyketide	Cystobacter violaceus
BGC0000073	Partial	halstoctacosanolide	Polyketide	Streptomyces halstedii
BGC0000074	Partial	herbimycin	Polyketide	Streptomyces hygroscopicus
BGC0000075	Partial	hygrocin	Polyketide	Streptomyces sp. LZ35
BGC0000076	Partial	hypothemycin	Polyketide	Hypomyces subiculosus
BGC0000077	Partial	hypothemycin	Polyketide	Hypomyces subiculosus
BGC0000078	Partial	incednine	Polyketide	Streptomyces sp. ML694-90F3
BGC0000079	Partial	indanomycin	Polyketide	Streptomyces antibioticus
BGC0000080	Partial	jerangolid A / jerangolid D	Polyketide	Sorangium cellulosum
BGC0000082	Partial	kijanimicin	Polyketide	Actinomadura kijaniata
BGC0000084	Partial	laidlomycin	Polyketide	Streptomyces sp. CS684
BGC0000085	Partial	lankamycin	Polyketide	Streptomyces rochei
BGC0000086	Partial	lasalocid	Polyketide	Streptomyces lasaliensis
BGC0000087	Partial	lasalocid	Polyketide	Streptomyces lasaliensis
BGC0000088	Partial	lovastatin	Polyketide	Aspergillus terreus
BGC0000089	Partial	lovastatin	Polyketide	Aspergillus terreus
BGC0000091	Partial	marineosin	Polyketide	Streptomyces sp. CNQ-617
BGC0000092	Partial	megalomicin	Polyketide	Micromonospora megalomicea subsp. nigra
BGC0000093	Partial	meilingmycin	Polyketide	Streptomyces nanchangensis
BGC0000095	Partial	micromonolactam	Polyketide	Micromonospora sp. CMS I2-32
BGC0000096	Partial	midecamycin	Polyketide	Streptomyces mycarofaciens
BGC0000098	Partial	monacolin K	Polyketide	Monascus pilosus
BGC0000099	Partial	monascorubrin	Polyketide	Talaromyces marneffei
BGC0000100	Partial	monensin	Polyketide	Streptomyces cinnamonensis
BGC0000102	Partial	mycinamicin	Polyketide	Micromonospora griseorubida
BGC0000103	Partial	mycolactone	Polyketide	Mycobacterium ulcerans Agy99
BGC0000105	Partial	nanchangmycin	Polyketide	Streptomyces nanchangensis
BGC0000107	Partial	naphthopyrone	Polyketide	Aspergillus nidulans FGSC A4
BGC0000108	Partial	natamycin	Polyketide	Streptomyces chattanoogensis
BGC0000109	Partial	nemadectin	Polyketide	Streptomyces cyaneogriseus subsp. noncyanogenus
BGC0000111	Partial	neocarzilin	Polyketide	Streptomyces carzinostaticus
BGC0000113	Partial	niddamycin	Polyketide	Streptomyces caelestis
BGC0000114	Partial	nigericin	Polyketide	Streptomyces violaceusniger
BGC0000116	Partial	nystatin-like Pseudonocardia polyene	Polyketide	Pseudonocardia autotrophica
BGC0000117	Partial	oligomycin	Polyketide	Streptomyces avermitilis
BGC0000118	Partial	pactamycin	Polyketide	Streptomyces pactum
BGC0000120	Partial	patulin	Polyketide	Penicillium expansum
BGC0000121	Partial	pestheic acid	Polyketide	Pestalotiopsis fici
BGC0000123	Partial	phoslactomycin B	Polyketide	Streptomyces sp. HK803
BGC0000124	Partial	piericidin A1	Polyketide	Streptomyces piomogenus
BGC0000125	Partial	pimaricin	Polyketide	Streptomyces natalensis
BGC0000126	Partial	pladienolide	Polyketide	Streptomyces platensis
BGC0000127	Partial	pyoluteorin	Polyketide	Pseudomonas protegens Pf-5
BGC0000128	Partial	pyoluteorin	Polyketide	Pseudomonas sp. M18
BGC0000129	Partial	pyripyropene	Polyketide	Aspergillus fumigatus Af293
BGC0000130	Partial	pyrrolomycin	Polyketide	Streptomyces vitaminophilus
BGC0000131	Partial	pyrrolomycin	Polyketide	Streptomyces sp. UC 11065
BGC0000132	Partial	pyrrolomycin	Polyketide	Streptomyces sp. UC 11065
BGC0000133	Partial	quartromicin	Polyketide	Amycolatopsis orientalis
BGC0000134	Partial	radicicol	Polyketide	Metacordyceps chlamydosporia
BGC0000135	Partial	reveromycin	Polyketide	Streptomyces sp. SN-593
BGC0000136	Partial	rifamycin	Polyketide	Amycolatopsis mediterranei S699
BGC0000137	Partial	rifamycin	Polyketide	Salinispora arenicola CNS-205
BGC0000138	Partial	rimocidin	Polyketide	Streptomyces diastaticus
BGC0000140	Partial	RK-682	Polyketide	Streptomyces sp. 88-682
BGC0000141	Partial	rubradirin	Polyketide	Streptomyces achromogenes subsp. rubradiris
BGC0000142	Partial	salinilactam	Polyketide	Salinispora tropica CNB-440
BGC0000143	Partial	salinomycin	Polyketide	Streptomyces albus
BGC0000145	Partial	salinosporamide A	Polyketide	Salinispora tropica
BGC0000146	Partial	solanapyrone	Polyketide	Alternaria solani
BGC0000148	Partial	spinosad	Polyketide	Saccharopolyspora spinosa
BGC0000152	Partial	sterigmatocystin	Polyketide	Aspergillus nidulans
BGC0000155	Partial	T-toxin	Polyketide	Bipolaris maydis
BGC0000157	Partial	tautomycetin	Polyketide	Streptomyces sp. CK4412
BGC0000160	Partial	terreic acid	Polyketide	Aspergillus terreus NIH2624
BGC0000162	Partial	tetrocarcin A	Polyketide	Micromonospora chalcea
BGC0000163	Partial	tetronasin	Polyketide	Streptomyces longisporoflavus
BGC0000164	Partial	tetronomycin	Polyketide	Streptomyces sp. NRRL 11266
BGC0000166	Partial	tylactone	Polyketide	Streptomyces fradiae
BGC0000167	Partial	vicenistatin	Polyketide	Streptomyces halstedii
BGC0000170	Partial	yanuthone D	Polyketide	Aspergillus niger ATCC 1015
BGC0000172	Partial	basiliskamides	Polyketide	Brevibacillus laterosporus PE36
BGC0000174	Partial	bryostatin	Polyketide	Candidatus Endobugula sertula
BGC0000183	Partial	paenimacrolidin	Polyketide	Paenibacillus sp. F6-B70
BGC0000185	Partial	tartrolon	Polyketide	Teredinibacter turnerae T7901
BGC0000190	Partial	A-74528	Polyketide	Streptomyces sp. SANK 61196
BGC0000191	Partial	aclacinomycin	Polyketide	Streptomyces galilaeus
BGC0000192	Partial	aclacinomycin	Polyketide	Streptomyces galilaeus
BGC0000193	Partial	aclacinomycin	Polyketide	Streptomyces galilaeus
BGC0000202	Partial	azicemicin	Polyketide	Kibdelosporangium sp. MJ126-NF4
BGC0000203	Partial	BE-7585A	Polyketide	Amycolatopsis orientalis subsp. vinearia
BGC0000205	Partial	bryostatin	Polyketide	Candidatus Endobugula sertula
BGC0000207	Partial	chartreusin	Polyketide	Streptomyces chartreusis
BGC0000208	Partial	chelocardin	Polyketide	Amycolatopsis sulphurea
BGC0000209	Partial	chlortetracycline	Polyketide	Streptomyces aureofaciens
BGC0000211	Partial	chrysomycin	Polyketide	Streptomyces albaduncus
BGC0000214	Partial	cosmomycin	Polyketide	Streptomyces olindensis
BGC0000215	Partial	curamycin	Polyketide	Streptomyces cyaneus
BGC0000216	Partial	dactylocycline	Polyketide	Dactylosporangium sp. SC14051
BGC0000217	Partial	daunorubicin	Polyketide	Streptomyces sp.
BGC0000218	Partial	doxorubicin	Polyketide	Streptomyces peucetius
BGC0000221	Partial	erdacin	Polyketide	uncultured soil bacterium V167
BGC0000222	Partial	FD-594	Polyketide	Streptomyces sp. TA-0256
BGC0000225	Partial	frenolicin	Polyketide	Streptomyces roseofulvus
BGC0000226	Partial	gilvocarcin	Polyketide	Streptomyces griseoflavus
BGC0000228	Partial	granaticin	Polyketide	Streptomyces violaceoruber
BGC0000231	Partial	griseusin	Polyketide	Streptomyces griseus
BGC0000232	Partial	hatomarubigin	Polyketide	Streptomyces sp. 2238-SVT4
BGC0000233	Partial	hedamycin	Polyketide	Streptomyces griseoruber
BGC0000234	Partial	jadomycin	Polyketide	Streptomyces venezuelae ATCC 10712
BGC0000235	Partial	kiamycin	Polyketide	Streptomyces sp. W007
BGC0000236	Partial	kinamycin	Polyketide	Streptomyces murayamaensis
BGC0000237	Partial	lactonamycin Z	Polyketide	Streptomyces sanglieri
BGC0000238	Partial	lactonamycin	Polyketide	Streptomyces rishiriensis
BGC0000242	Partial	lysolipin	Polyketide	Streptomyces tendae
BGC0000243	Partial	macrotetrolide	Polyketide	Streptomyces griseus subsp. griseus
BGC0000244	Partial	macrotetrolide	Polyketide	Streptomyces griseus subsp. griseus
BGC0000245	Partial	medermycin	Polyketide	Streptomyces sp. AM-7161
BGC0000246	Partial	mithramycin	Polyketide	Streptomyces argillaceus
BGC0000248	Partial	naphtocyclinone	Polyketide	Streptomyces arenae
BGC0000249	Partial	nogalamycin	Polyketide	Streptomyces nogalater
BGC0000251	Partial	nogalamycin	Polyketide	Streptomyces nogalater
BGC0000252	Partial	nonactin	Polyketide	Streptomyces griseus subsp. griseus
BGC0000254	Partial	oxytetracycline	Polyketide	Streptomyces rimosus
BGC0000255	Partial	pederin	Polyketide	symbiont bacterium of Paederus fuscipes
BGC0000256	Partial	pradimicin	Polyketide	Actinomadura hibisca
BGC0000257	Partial	prodigiosin	Polyketide	Streptomyces griseoviridis
BGC0000258	Partial	prodigiosin	Polyketide	Serratia sp.
BGC0000259	Partial	prodigiosin	Polyketide	Serratia marcescens
BGC0000260	Partial	prodigiosin	Polyketide	Hahella chejuensis KCTC 2396
BGC0000261	Partial	R1128	Polyketide	Streptomyces sp. R1128
BGC0000263	Partial	ravidomycin	Polyketide	Streptomyces ravidus
BGC0000265	Partial	rhodomycin	Polyketide	Streptomyces purpurascens
BGC0000266	Partial	rubromycin	Polyketide	Streptomyces collinus
BGC0000268	Partial	Sch47554 / Sch47555	Polyketide	Streptomyces sp. SCC 2136
BGC0000270	Partial	simocyclinone	Polyketide	Streptomyces antibioticus
BGC0000271	Partial	spore pigment	Polyketide	Streptomyces avermitilis
BGC0000272	Partial	spore pigment	Polyketide	Streptomyces collinus
BGC0000277	Partial	urdamycin	Polyketide	Streptomyces fradiae
BGC0000278	Partial	urdamycin	Polyketide	Streptomyces fradiae
BGC0000279	Partial	xantholipin	Polyketide	Streptomyces flavogriseus
BGC0000281	Partial	2,4-Diacetylphloroglucinol	Polyketide	Pseudomonas fluorescens
BGC0000282	Partial	alkylresorcinol	Polyketide	Streptomyces griseus subsp. griseus NBRC 13350
BGC0000284	Partial	phenolic lipids	Polyketide	Azotobacter vinelandii DJ
BGC0000286	Partial	viguiepinol	Polyketide	Streptomyces sp. KO-3988
BGC0000287	Partial	2-amino-4-methoxy-trans-3-butenoic acid	NRP	Pseudomonas aeruginosa PAO1
BGC0000288	Partial	A-503083 A / A-503083 B / A-503083 E / A-503083 F	NRP	Streptomyces sp. SANK 62799
BGC0000291	Partial	A54145	NRP	Streptomyces fradiae
BGC0000292	Partial	acetylaranotin	NRP	Aspergillus terreus NIH2624
BGC0000293	Partial	acetylaszonalenin	NRP	Neosartorya fischeri NRRL 181
BGC0000294	Partial	acinetobactin	NRP	Acinetobacter baumannii
BGC0000295	Partial	acinetoferrin	NRP	Acinetobacter haemolyticus
BGC0000296	Partial	actinomycin	NRP	Streptomyces anulatus
BGC0000299	Partial	alterochromides	NRP	Pseudoalteromonas piscicida JCM 20779
BGC0000300	Partial	amychelin	NRP	Streptomyces sp. AA4
BGC0000301	Partial	anabaenopeptin	NRP	Planktothrix agardhii NIVA-CYA 126/8
BGC0000303	Partial	anthramycin	NRP	Streptomyces refuineus subsp. thermotolerans
BGC0000304	Partial	apicidin	NRP	Fusarium incarnatum
BGC0000307	Partial	aureobasidin A1	NRP	Aureobasidium pullulans
BGC0000308	Partial	aureusimine	NRP	Staphylococcus aureus subsp. aureus str. JKD6008
BGC0000309	Partial	bacillibactin	NRP	Bacillus subtilis subsp. subtilis str. 168
BGC0000310	Partial	bacitracin	NRP	Bacillus licheniformis
BGC0000311	Partial	balhimycin	NRP	Amycolatopsis balhimycina DSM 5908
BGC0000312	Partial	bassianolide	NRP	Beauveria bassiana
BGC0000313	Partial	beauvericin	NRP	Beauveria bassiana
BGC0000316	Partial	capreomycin	NRP	Saccharothrix mutabilis subsp. capreolus
BGC0000317	Partial	cephalosporin	NRP	Acremonium chrysogenum ATCC 11550
BGC0000318	Partial	cephalosporin, cefEFG genes	NRP	Acremonium chrysogenum ATCC 11550
BGC0000321	Partial	chaetocin	NRP	Chaetomium virescens
BGC0000322	Partial	chloroeremomycin	NRP	Amycolatopsis orientalis
BGC0000324	Partial	coelibactin	NRP	Streptomyces coelicolor A3(2)
BGC0000325	Partial	coelichelin	NRP	Streptomyces coelicolor A3(2)
BGC0000326	Partial	complestatin	NRP	Streptomyces lavendulae
BGC0000327	Partial	congocidine	NRP	Streptomyces ambofaciens ATCC 23877
BGC0000328	Partial	coronatine	NRP	Pseudomonas syringae pv. glycinea
BGC0000329	Partial	corpeptin	NRP	Pseudomonas corrugata
BGC0000331	Partial	cyanopeptin	NRP	Planktothrix agardhii NIVA-CYA 116
BGC0000332	Partial	cyanopeptolin	NRP	Microcystis sp. NIVA-CYA 172/5
BGC0000334	Partial	cyclosporin	NRP	Tolypocladium inflatum NRRL8044
BGC0000335	Partial	cystomanamides	NRP	Cystobacter fuscus
BGC0000336	Partial	daptomycin	NRP	Streptomyces roseosporus NRRL 11379
BGC0000339	Partial	echinomycin	NRP	Streptomyces lasaliensis
BGC0000340	Partial	echosides	NRP	Streptomyces sp. LZ35
BGC0000341	Partial	enduracidin	NRP	Streptomyces fungicidicus
BGC0000342	Partial	enniatin	NRP	Fusarium equiseti
BGC0000343	Partial	enterobactin	NRP	Pseudomonas sp. J465
BGC0000344	Partial	entolysin	NRP	Pseudomonas entomophila L48
BGC0000347	Partial	equibactin	NRP	Streptococcus equi subsp. equi
BGC0000348	Partial	ergovaline	NRP	Neotyphodium lolii
BGC0000349	Partial	erythrochelin	NRP	Saccharopolyspora erythraea NRRL 2338
BGC0000351	Partial	exochelin	NRP	Mycobacterium smegmatis
BGC0000353	Partial	FK506	NRP	Streptomyces sp. MA6548
BGC0000354	Partial	friulimicin	NRP	Actinoplanes friuliensis
BGC0000358	Partial	fusaricidin	NRP	Paenibacillus polymyxa SC2
BGC0000359	Partial	fuscachelin	NRP	Thermobifida fusca YX
BGC0000360	Partial	GE81112	NRP	Streptomyces sp. L-49973
BGC0000362	Partial	glycopeptidolipid	NRP	Mycobacterium avium
BGC0000363	Partial	glycopeptidolipid	NRP	Mycobacterium chelonae
BGC0000364	Partial	glycopeptidolipid	NRP	Mycobacterium abscessus
BGC0000365	Partial	glycopeptidolipid	NRP	Mycobacterium smegmatis str. MC2 155
BGC0000366	Partial	gobichelin	NRP	Streptomyces sp. NRRL F-4415
BGC0000367	Partial	gramicidin	NRP	Brevibacillus brevis NBRC 100599
BGC0000368	Partial	griseobactin	NRP	Streptomyces sp. ATCC 700974
BGC0000371	Partial	heterobactin A / heterobactin S2	NRP	Rhodococcus erythropolis PR4
BGC0000373	Partial	holomycin	NRP	Streptomyces clavuligerus ATCC 27064
BGC0000375	Partial	indigoidine	NRP	Streptomyces chromofuscus
BGC0000376	Partial	JBIR-34, JBIR-35	NRP	Streptomyces sp. Sp080513GE-23
BGC0000377	Partial	koranimine	NRP	Bacillus sp. NK2003
BGC0000378	Partial	kutznerides	NRP	Kutzneria sp. 744
BGC0000379	Partial	laspartomycin	NRP	Streptomyces viridochromogenes
BGC0000381	Partial	lichenysin	NRP	Bacillus licheniformis DSM 13 = ATCC 14580
BGC0000382	Partial	lipstatin	NRP	Streptomyces toxytricini
BGC0000385	Partial	lysobactin	NRP	Lysobacter sp. ATCC 53042
BGC0000387	Partial	mangotoxin	NRP	Pseudomonas syringae pv. syringae
BGC0000388	Partial	mannopeptimycin	NRP	Streptomyces hygroscopicus
BGC0000392	Partial	mirubactin	NRP	Actinosynnema mirum DSM 43827
BGC0000394	Partial	naphthyridinomycin	NRP	Streptomyces lusitanus
BGC0000395	Partial	nocardicin A	NRP	Nocardia uniformis subsp. tsuyamanensis
BGC0000396	Partial	nodularin	NRP	Nostoc sp. 73.1
BGC0000397	Partial	nostocyclopeptide	NRP	Nostoc sp. ATCC 53789
BGC0000400	Partial	paenibacterin	NRP	Paenibacillus sp. OSY-SE
BGC0000401	Partial	paenibactin	NRP	Paenibacillus elgii B69
BGC0000402	Partial	paenilarvins	NRP	Paenibacillus larvae subsp. larvae DSM 25430
BGC0000403	Partial	pelgipeptin	NRP	Paenibacillus elgii
BGC0000404	Partial	penicillin	NRP	Penicillium chrysogenum
BGC0000407	Partial	plipastatin	NRP	Bacillus subtilis subsp. subtilis
BGC0000408	Partial	polymyxin	NRP	Paenibacillus polymyxa
BGC0000409	Partial	porothramycin	NRP	Streptomyces albus subsp. albus
BGC0000410	Partial	pseudomonine	NRP	Pseudomonas fluorescens
BGC0000411	Partial	putisolvin	NRP	Pseudomonas putida
BGC0000412	Partial	pyochelin	NRP	Pseudomonas aeruginosa PAO1
BGC0000413	Partial	pyoverdine	NRP	Pseudomonas protegens Pf-5
BGC0000414	Partial	quinocarcin	NRP	Streptomyces melanovinaceus
BGC0000415	Partial	quinomycin	NRP	Streptomyces griseovariabilis subsp. bandungensis
BGC0000417	Partial	rhodochelin	NRP	Rhodococcus jostii RHA1
BGC0000418	Partial	ristocetin	NRP	Amycolatopsis lurida
BGC0000421	Partial	safracin	NRP	Pseudomonas fluorescens
BGC0000422	Partial	saframycin A	NRP	Streptomyces lavendulae
BGC0000423	Partial	scabichelin	NRP	Streptomyces scabiei 87.22
BGC0000428	Partial	sibiromycin	NRP	Streptosporangium sibiricum
BGC0000432	Partial	streptothricin	NRP	Streptomyces rochei
BGC0000434	Partial	SW-163C / SW-163D / SW-163E / SW-163F / SW-163G	NRP	Streptomyces sp. SNA15896
BGC0000435	Partial	syringafactin	NRP	Pseudomonas syringae pv. tomato str. DC3000
BGC0000436	Partial	syringolin A	NRP	Rhizobium sp. AP16
BGC0000437	Partial	syringomycin	NRP	Pseudomonas syringae pv. syringae B728a
BGC0000438	Partial	syringopeptin	NRP	Pseudomonas syringae pv. syringae
BGC0000441	Partial	teicoplanin	NRP	Actinoplanes teichomyceticus
BGC0000444	Partial	thaxtomin	NRP	Streptomyces turgidiscabies Car8
BGC0000446	Partial	tilivalline	NRP	Klebsiella oxytoca
BGC0000448	Partial	tomaymycin	NRP	Streptomyces achromogenes
BGC0000449	Partial	tridecaptin	NRP	Paenibacillus terrae
BGC0000450	Partial	triostin A	NRP	Streptomyces triostinicus
BGC0000451	Partial	turnerbactin	NRP	Teredinibacter turnerae T7901
BGC0000452	Partial	tyrocidine	NRP	Brevibacillus brevis NBRC 100599
